Issue_id,Duplicate
1,183
2,94;9779;15392
3,NULL
4,NULL
5,NULL
6,NULL
7,42962
8,NULL
9,NULL
10,NULL
11,NULL
12,NULL
13,NULL
14,NULL
15,NULL
16,NULL
17,NULL
18,NULL
19,NULL
20,40
21,NULL
22,48
23,NULL
24,NULL
25,28126;31234
26,98
27,NULL
28,NULL
29,NULL
30,38236;71263;99332;205979
31,NULL
32,NULL
33,NULL
34,NULL
35,NULL
36,NULL
37,NULL
38,NULL
39,NULL
40,20
41,NULL
42,NULL
43,NULL
44,NULL
45,NULL
46,NULL
47,NULL
48,22
49,NULL
50,NULL
51,NULL
52,NULL
53,NULL
54,NULL
55,NULL
56,NULL
57,NULL
58,NULL
59,NULL
60,61
61,60
62,NULL
63,NULL
64,NULL
65,NULL
66,NULL
67,NULL
68,NULL
69,NULL
70,NULL
71,228;256
72,NULL
73,NULL
74,NULL
75,NULL
76,NULL
77,NULL
78,NULL
79,NULL
80,NULL
81,NULL
82,NULL
83,NULL
84,NULL
85,247;10959
86,NULL
87,NULL
88,6099;14116
89,NULL
90,NULL
91,NULL
92,NULL
93,NULL
94,2;9779;15392
95,NULL
96,NULL
97,NULL
98,26
99,NULL
100,NULL
101,NULL
102,NULL
103,NULL
104,NULL
105,NULL
106,NULL
107,NULL
108,NULL
109,NULL
110,NULL
111,NULL
112,NULL
113,NULL
114,NULL
115,NULL
116,NULL
117,NULL
118,NULL
119,NULL
120,NULL
121,NULL
122,146;170;4894
123,215;4934
124,NULL
125,NULL
126,NULL
127,NULL
128,NULL
129,NULL
130,NULL
131,NULL
132,NULL
133,NULL
134,NULL
135,NULL
136,NULL
137,NULL
138,NULL
139,5536
140,NULL
141,NULL
142,NULL
143,NULL
144,NULL
145,NULL
146,122;170;4894
147,NULL
148,NULL
149,NULL
150,5931
151,NULL
152,NULL
153,NULL
154,NULL
155,NULL
156,NULL
157,NULL
158,NULL
159,NULL
160,22828
161,NULL
162,NULL
163,NULL
164,NULL
165,NULL
166,NULL
167,NULL
168,NULL
169,NULL
170,122;146;4894
171,4904
172,NULL
173,NULL
174,NULL
175,16058;17366;18651
176,NULL
177,NULL
178,226;22806
179,NULL
180,NULL
181,NULL
