Issue_id,Duplicate
10954,NULL
14871,243500;410103;505684;515027;528678
19118,326494;328227;414070;436576;443686;457861;475975
54746,NULL
56892,191258;281233;290692;300719;307581;310641;311707;313310;320257;327174;359714;371510;431038
70171,NULL
75119,NULL
82301,NULL
82938,NULL
83003,NULL
84106,NULL
88541,244588;446626
91774,NULL
92073,NULL
93789,354686;394099
94514,412958
98682,269769;273198;276032;289262;314013;331267;342868;365098;378379;395492;408608
104142,NULL
110894,178756;241610;368287;457051;466640
111656,NULL
120494,615124
127244,216966;257364;316329;344035
129399,247844
134649,409810;425098;428592;456775;467820
135567,NULL
140108,NULL
145524,NULL
150379,216423;262508
151437,262088
153188,NULL
153509,340604
155482,NULL
161032,NULL
161448,NULL
161730,NULL
161735,NULL
161749,167183;169300;170511;170535;170901;172553;173156;173670;174187;174850;175609;175803;177432;177466;177487;177551
161803,NULL
161822,NULL
161866,NULL
161867,NULL
161871,NULL
162036,229576
162150,NULL
162286,NULL
162341,NULL
162344,165956
163057,NULL
165811,NULL
165823,167134
165955,NULL
165956,162344
165958,NULL
165959,NULL
165960,220259
167100,171134
167104,NULL
167134,165823
167167,NULL
167180,NULL
167183,161749;169300;170511;170535;170901;172553;173156;173670;174187;174850;175609;175803;177432;177466;177487;177551
167327,NULL
167391,NULL
167418,413821
167422,NULL
167430,NULL
167449,167969
167876,NULL
167878,NULL
167880,NULL
167969,167449
167986,NULL
168274,291460
168377,NULL
168410,176401
168411,NULL
168412,NULL
168413,NULL
168415,184720
168416,170459;170463;170979;171566
168442,170568;171347
168504,NULL
168727,NULL
169300,161749;167183;170511;170535;170901;172553;173156;173670;174187;174850;175609;175803;177432;177466;177487;177551
169346,NULL
169347,NULL
169348,NULL
169378,169379;230507;232663
169379,169378;230507;232663
169427,NULL
169698,NULL
169709,NULL
169727,409397
169823,NULL
169826,215627;241411;243358
169833,NULL
169834,173927
169836,NULL
169837,272132;379221;421641;438980
169839,NULL
169971,NULL
170029,285745;390081;418330;435682;625910
170068,NULL
170078,NULL
170152,NULL
170157,NULL
170216,299558;300843
170222,NULL
170243,207518
170309,NULL
170362,NULL
170427,NULL
170448,NULL
170459,168416;170463;170979;171566
170461,NULL
170462,NULL
170463,168416;170459;170979;171566
170499,172246;173883;177793;197548;202757;206340;214028;217688;217899;217933;228065;232703
170501,216726;336243
170511,161749;167183;169300;170535;170901;172553;173156;173670;174187;174850;175609;175803;177432;177466;177487;177551
170517,NULL
170521,170958;171293;171940;171945
170526,170623
170535,161749;167183;169300;170511;170901;172553;173156;173670;174187;174850;175609;175803;177432;177466;177487;177551
170537,NULL
170543,NULL
170566,NULL
170568,168442;171347
170571,188536;218424;218483;245129;261342;265674;270887;274763;275980;276390;277162;279073;281346;286573;287919;289550;290844;290867;292501;304629;306863;311148;314121;320603;324827;326038;326371;328774;330314;342610;350572;359698;393663;397127;504266
170574,NULL
170582,NULL
170609,173314;175069;207453;214503;228631;233576
170623,170526
170630,170844
170633,171018
170641,NULL
170653,NULL
170677,171299;171848;173904;206104
170679,NULL
170705,173448;177682
170734,NULL
170737,NULL
170763,NULL
170765,170834;170842;170899;171042;171043
170768,177013
170784,NULL
170793,175767
170834,170765;170842;170899;171042;171043
170842,170765;170834;170899;171042;171043
170844,170630
170861,171496;173132;174786;175361
170869,351099
