Issue_id,Duplicate
1518,NULL
1519,NULL
1520,NULL
1521,NULL
1522,1663;1664
1523,1555;1568;1570;1619;1667
1524,1575;1622;16123;22449;26939
1525,NULL
1526,1633;3945;8282
1527,NULL
1528,NULL
1529,NULL
1530,24776
1531,NULL
1532,1566
1534,NULL
1535,NULL
1536,16036;25244;30520;42510;43669
1537,NULL
1538,1605;7291;12764
1539,NULL
1540,NULL
1541,NULL
1542,NULL
1543,NULL
1544,1557;1630;9074;20678
1545,23279;52518;69088
1546,1616;1620;1722;5573;7760;8488;9880;10690
1547,10423
1548,NULL
1549,NULL
1550,NULL
1551,19573
1552,1554;1586;15248;15491;20507
1553,1606;5346;7185
1554,1552;1586;15248;15491;20507
1555,1523;1568;1570;1619;1667
1556,NULL
1557,1544;1630;9074;20678
1558,NULL
1559,7703
1560,12018;117878
1561,NULL
1563,NULL
1564,NULL
1565,1739
1566,1532
1567,NULL
1568,1523;1555;1570;1619;1667
1569,6975
1570,1523;1555;1568;1619;1667
1571,NULL
1572,NULL
1573,NULL
1574,NULL
1575,1524;1622;16123;22449;26939
1576,24009
1578,NULL
1579,NULL
1580,NULL
1581,NULL
1582,1702;11357
1583,NULL
1584,NULL
1585,1598;1634;3586
1586,1552;1554;15248;15491;20507
1587,NULL
1588,NULL
1589,NULL
1590,NULL
1591,8473;12696;15067;26268;27150
1593,NULL
1594,9413;48130;56272
1595,NULL
1596,NULL
1597,NULL
1598,1585;1634;3586
1599,NULL
1600,NULL
1601,NULL
1602,NULL
1603,NULL
1604,1732;4383
1605,1538;7291;12764
1606,1553;5346;7185
1607,NULL
1608,5163;5510;12091;28023;28874
1609,18022
1610,NULL
1611,NULL
1612,6185
1613,NULL
1614,1725;3943
1615,NULL
1616,1546;1620;1722;5573;7760;8488;9880;10690
1617,NULL
1618,4997;6509
1619,1523;1555;1568;1570;1667
1620,1546;1616;1722;5573;7760;8488;9880;10690
1621,NULL
1622,1524;1575;16123;22449;26939
1623,NULL
1624,NULL
1625,NULL
1626,NULL
1627,NULL
1628,1639
1629,NULL
1630,1544;1557;9074;20678
1631,21496
1632,NULL
1633,1526;3945;8282
1634,1585;1598;3586
1635,6291
1636,NULL
1637,NULL
1638,NULL
1639,1628
1640,NULL
1641,NULL
1643,NULL
1644,NULL
1645,NULL
1646,NULL
1647,NULL
1648,NULL
1649,NULL
1650,NULL
1651,NULL
1652,NULL
1653,NULL
1654,NULL
1655,NULL
1656,NULL
1657,1753;6161
1658,NULL
1659,NULL
1660,NULL
1661,NULL
1662,11740;18845;21816
1663,1522;1664
1664,1522;1663
1665,NULL
1666,57963
1667,1523;1555;1568;1570;1619
1668,10568
1669,NULL
1670,NULL
1671,NULL
1672,NULL
1673,1710
1674,8627
1675,1693;7833
1676,NULL
1677,1740
1678,NULL
1679,NULL
1680,NULL
1681,NULL
1682,NULL
1683,NULL
1684,NULL
1685,NULL
1686,NULL
1687,NULL
1688,NULL
1689,6952
1690,NULL
1691,NULL
1692,1698
1693,1675;7833
1694,14415
1695,NULL
1696,NULL
1697,NULL
1698,1692
1699,NULL
1700,NULL
1701,NULL
1702,1582;11357
1703,NULL
1704,NULL
1705,NULL
1706,NULL
1707,NULL
1708,3836
1709,NULL
1710,1673
1711,NULL
1712,NULL
1713,4985
1715,NULL
1716,1717
1717,1716
1718,NULL
1721,NULL
1722,1546;1616;1620;5573;7760;8488;9880;10690
1723,5594
1724,NULL
1725,1614;3943
1726,NULL
1727,23631;24923
1728,NULL
1729,NULL
1730,NULL
1731,NULL
1732,1604;4383
1733,NULL
1734,NULL
1735,3578;5576;11492
1736,NULL
1737,NULL
1738,NULL
1739,1565
1740,1677
1741,NULL
1742,NULL
1743,NULL
1744,NULL
1745,8322
1746,NULL
1747,NULL
1748,NULL
1750,NULL
1751,NULL
1752,NULL
1753,1657;6161
1754,1755;1759
1755,1754;1759
1756,NULL
1757,NULL
1758,NULL
1759,1754;1755
1760,NULL
1762,NULL
1763,NULL
1764,NULL
1765,NULL
1766,NULL
1768,NULL
1769,NULL
1770,5485;6248
1771,NULL
1772,NULL
1834,NULL
2330,NULL
2372,NULL
2773,NULL
2795,NULL
2857,13008;14193;14340
2879,NULL
2990,NULL
3037,3371;3419;5036;6799
3059,NULL
3123,NULL
3173,NULL
3174,NULL
3175,3176
3176,3175
3177,NULL
3178,NULL
3179,12809
3180,NULL
3181,11232;37609
3182,NULL
3183,NULL
3184,NULL
3185,NULL
3186,NULL
3188,NULL
3189,NULL
3190,NULL
3191,NULL
3192,NULL
3193,NULL
3194,NULL
3195,NULL
3196,5997;19063
3197,3223
3198,NULL
3199,NULL
3200,NULL
3201,NULL
3202,NULL
3203,NULL
3204,NULL
3205,NULL
3206,NULL
3207,NULL
