Issue_id,Duplicate
91,NULL
103,NULL
104,NULL
105,NULL
133,NULL
134,NULL
159,NULL
174,NULL
213,NULL
220,NULL
228,NULL
247,NULL
264,NULL
273,24514
279,NULL
289,NULL
300,NULL
324,NULL
334,NULL
335,NULL
346,NULL
387,NULL
414,415
415,414
420,NULL
432,434
433,NULL
434,432
436,NULL
438,NULL
452,6464;7094;12413;15993;19333;28303;39280;41168
453,NULL
454,5383;24924
465,45126;70442;73427;100125;145018;160688;185125;199123;212117;232088
466,991;1239;1259;2419;2447;2906;3015;3073;4809;4814;4956;5550;5859;6233;6925;7346;7447;7723;7733;7889;8080;8103;8681;8738;8771;8871;8913;8996;9563;10324;10943;11381;12118;12468;12632;12868;13106;13107;13282;14005;14276;14636;16046;16406;16497;18185;18403;20199;22736
467,NULL
468,NULL
476,NULL
490,NULL
492,NULL
509,NULL
510,NULL
534,NULL
560,NULL
561,NULL
563,NULL
564,4551
565,NULL
566,NULL
568,NULL
569,NULL
570,NULL
572,NULL
573,NULL
574,NULL
576,NULL
577,NULL
578,NULL
579,1509;1518;1931;1932;1985
580,NULL
581,1038
582,NULL
585,NULL
588,1047;1783;2475;3222;3493;3923;4397;4447;5017;10798;14279;19195;20571;20703;25803;26287;31056;31920
589,NULL
590,NULL
592,NULL
593,NULL
594,NULL
595,NULL
596,NULL
597,NULL
598,NULL
599,1533;1986
600,NULL
602,NULL
603,1433
604,NULL
605,NULL
606,971
607,NULL
608,NULL
609,NULL
610,NULL
611,NULL
612,NULL
613,NULL
614,NULL
617,NULL
618,NULL
619,NULL
620,NULL
621,NULL
622,NULL
623,NULL
624,NULL
625,NULL
627,NULL
628,629
629,628
630,NULL
632,NULL
633,NULL
635,NULL
636,NULL
637,641
638,NULL
639,9579
640,NULL
641,637
642,NULL
643,NULL
644,NULL
645,NULL
646,NULL
647,NULL
648,NULL
649,NULL
650,NULL
651,NULL
652,3951;4034;5113;6138;8498
654,NULL
655,NULL
656,NULL
657,NULL
658,NULL
660,NULL
661,1015
662,NULL
663,NULL
664,NULL
667,NULL
668,NULL
670,NULL
671,NULL
672,NULL
673,NULL
674,NULL
675,NULL
676,NULL
677,NULL
678,1155;1158;36312;81557;115309
681,NULL
682,NULL
683,NULL
684,NULL
685,NULL
686,NULL
687,NULL
688,NULL
689,NULL
690,NULL
691,NULL
692,NULL
693,NULL
694,NULL
695,NULL
696,NULL
697,NULL
699,NULL
700,NULL
701,1993
702,NULL
703,NULL
707,NULL
709,1802;2386;2962;3260;3733;5285;5819;6731;7392;11225;14317;16184;16323;18401;19521;24620;24772;25648;25788;25801;26198;26837
711,NULL
714,NULL
719,NULL
722,NULL
727,NULL
728,NULL
737,1915;4993;6936;11424
743,NULL
745,NULL
746,NULL
747,NULL
751,NULL
752,NULL
753,467112
756,1358;2628;2631;2738;3236;3539;7045;19129;31264;31927;69877
757,NULL
758,NULL
770,NULL
772,NULL
773,NULL
775,NULL
779,NULL
785,NULL
786,986;1010
790,NULL
794,NULL
796,NULL
797,19485
802,8683;12072
803,1060
804,NULL
805,NULL
807,NULL
808,NULL
809,NULL
810,812
811,NULL
812,810
813,NULL
814,999
815,NULL
816,NULL
819,NULL
822,NULL
823,NULL
828,NULL
830,NULL
831,NULL
834,NULL
836,NULL
839,NULL
841,NULL
844,NULL
845,NULL
847,NULL
850,NULL
853,NULL
854,1026;5847;6008
855,NULL
856,NULL
857,NULL
858,11931;69144
859,NULL
861,NULL
862,NULL
863,NULL
865,1131
866,1168
868,NULL
872,NULL
875,NULL
879,NULL
882,NULL
889,NULL
904,NULL
905,NULL
907,NULL
908,NULL
910,NULL
912,NULL
916,NULL
917,NULL
920,NULL
921,NULL
922,NULL
923,NULL
924,NULL
925,NULL
926,NULL
927,NULL
930,NULL
932,NULL
933,NULL
934,NULL
935,1346
937,15229
940,NULL
942,NULL
944,NULL
945,NULL
947,963
948,NULL
949,NULL
954,NULL
957,NULL
958,NULL
959,3422;33318;43772
960,4070;13126
961,NULL
962,NULL
963,947
964,NULL
965,NULL
966,NULL
967,NULL
968,NULL
969,NULL
970,NULL
971,606
972,377004
973,NULL
974,NULL
975,NULL
976,NULL
977,NULL
978,NULL
979,NULL
980,NULL
981,NULL
982,NULL
983,NULL
984,NULL
985,1489;7328
986,786;1010
987,NULL
988,NULL
989,NULL
990,NULL
991,466;1239;1259;2419;2447;2906;3015;3073;4809;4814;4956;5550;5859;6233;6925;7346;7447;7723;7733;7889;8080;8103;8681;8738;8771;8871;8913;8996;9563;10324;10943;11381;12118;12468;12632;12868;13106;13107;13282;14005;14276;14636;16046;16406;16497;18185;18403;20199;22736
992,NULL
993,NULL
994,2069;2077;2122;3323
995,NULL
998,NULL
999,814
1002,7937;11020
1004,4605;16245
1005,NULL
1006,NULL
1007,64915;72508
1009,NULL
1010,786;986
1011,NULL
1015,661
1018,NULL
1021,22620;53483
1023,NULL
1024,NULL
1026,854;5847;6008
1034,NULL
1037,NULL
1038,581
1039,NULL
1040,NULL
1041,NULL
1042,NULL
1043,NULL
1044,17082;19946;20657;23683
1046,NULL
1047,588;1783;2475;3222;3493;3923;4397;4447;5017;10798;14279;19195;20571;20703;25803;26287;31056;31920
1048,NULL
1049,NULL
1050,NULL
1051,NULL
1052,NULL
1053,NULL
1054,NULL
1055,3492;7653
1056,NULL
1057,NULL
1058,NULL
1059,NULL
1060,803
1061,1138;5554;24861;35700;35725;45401;64907;87497;117456;213022;227001
1063,1495;1825;2486
1064,NULL
1065,NULL
1066,NULL
1067,NULL
1068,NULL
1070,15918;18168;18480;26034;27173;39163
1071,1080;1120
1072,NULL
1073,7259
1075,NULL
1076,NULL
1077,1196;1207
1080,1071;1120
1081,NULL
1086,NULL
1087,NULL
1088,NULL
1089,NULL
1090,NULL
1091,NULL
1094,2082;2478;2644;2934;3123
1095,2947;2954;3977;5835;10039
1097,NULL
1099,NULL
1102,1820
1107,NULL
1108,NULL
1109,NULL
1110,2947
1111,NULL
1112,NULL
1114,NULL
1115,NULL
1118,NULL
1119,NULL
1120,1071;1080
1122,NULL
1124,NULL
1125,NULL
1126,NULL
1127,NULL
1128,NULL
1129,2057;7471;19040;23995;24595;25935;29055;34814;38917;43727;44981;49994;49995;49997;50003;50004;50017;50019;50020;50022;50023;51201;51693;77465;77466;111835;115504;123001;139569;145250;147931;168663;176338;183917;193843;202998;228895;233052;240096;244845;245939;246461;252751;274020;301116;312087;330824;401823;414953;486524;497269;512421;589617;589619;647534
1130,NULL
1131,865
1132,NULL
1133,NULL
1134,3596
1135,NULL
1136,NULL
1137,7086
1138,1061;5554;24861;35700;35725;45401;64907;87497;117456;213022;227001
1139,NULL
1140,NULL
1141,2592
1142,NULL
1143,NULL
1146,NULL
1150,NULL
1151,NULL
