Issue_id,Duplicate
35689,NULL
36836,NULL
51181,NULL
58140,258570;261395;308174;370961;371082;472671;474351;557779
67219,507325
68784,528819
74959,295552
75927,238487;245607;273121
81091,NULL
108702,NULL
121267,NULL
123440,223131;232134;255360;267192;287270;287378;292939;309584;333183;345953;347066;353826;422896;432120;437050;450941;470744;474300;477641;487926;515075;518432
128129,NULL
129183,NULL
148195,NULL
151244,342195
170520,403531
171907,NULL
174630,NULL
183394,261154;319362
193281,252452;259846;362657;501109;516246
196628,NULL
199019,226145;245371;257689;267748;267815;274004;275502;287000;297698;306696;309022;309643
199540,243479;252115;274753;302396;378100;538322;550993
201831,NULL
202497,219796;223033;223474;234915;247999
202603,NULL
203555,NULL
203728,NULL
203799,NULL
204045,NULL
204055,NULL
204582,NULL
204707,227751
204737,NULL
205540,NULL
205666,NULL
206995,NULL
207354,NULL
207508,209996;214713;218364
207645,NULL
208002,NULL
208083,NULL
208428,NULL
208566,NULL
208945,NULL
209792,NULL
209996,207508;214713;218364
213136,NULL
213182,NULL
213212,214358;217101;217186
213318,NULL
213406,214126;219083;223241;227961;274421;279065;379926;540361;544638
213548,NULL
213852,NULL
213866,NULL
213947,NULL
214035,243702;255813;268350
214111,292749;378039;448288;473714;481611
214114,274396;310062;335124;339808;340109;346435
214117,NULL
214123,252296
214126,213406;219083;223241;227961;274421;279065;379926;540361;544638
214136,NULL
214158,219386
214205,NULL
214228,214451;215184;220282
214230,216302
214234,242007;242641;259731;262439;267490;291609;326539;388448;452997
214238,NULL
214240,214648;225609;226309;235890;235946;256740;272244;276788;286293;312640;314656;318537;320987;360618;390772;450399;453911;460038;467164;493105;493180;528858;534450;540071;546061
214284,NULL
214285,NULL
214301,NULL
214304,271538;290135
214308,214444;214604;215988;216756
214311,NULL
214322,NULL
214336,NULL
214342,NULL
214353,NULL
214354,215416;217255;218359;222797
214358,213212;217101;217186
214361,257720;262128;305443
214399,NULL
214400,NULL
214402,NULL
214408,NULL
214414,NULL
214418,NULL
214423,216985;224965;231216;241686
214432,214474;227852
214444,214308;214604;215988;216756
214446,NULL
214450,218450;221300;221989;224031;224614;225356
214451,214228;215184;220282
214456,NULL
214468,NULL
214474,214432;227852
214482,NULL
214505,NULL
214508,NULL
214512,NULL
214514,217021;300249
214539,NULL
214544,NULL
214576,NULL
214587,217475;220244
214604,214308;214444;215988;216756
214638,NULL
214639,NULL
214648,214240;225609;226309;235890;235946;256740;272244;276788;286293;312640;314656;318537;320987;360618;390772;450399;453911;460038;467164;493105;493180;528858;534450;540071;546061
214657,NULL
214663,219762
214671,NULL
214676,NULL
214687,NULL
214713,207508;209996;218364
214748,214932;224064;230773;252492;268143;269594
214756,NULL
214763,264509;314443;362974;377333;456823
214764,217273;227293
214766,278122;285458
214768,NULL
214773,NULL
214776,218261;228858;229954;230880;235823;239169;262438;271352;274610;274612;281740;284937;285252;290016;290516;305114
214788,NULL
214808,NULL
214833,NULL
214838,216486;217477;217633;218807;219612;222630;229273;229283;232534;238002;239016;240602
214849,526001
214864,NULL
214870,NULL
214886,NULL
214888,NULL
214896,223342;228998;233098
214932,214748;224064;230773;252492;268143;269594
214981,NULL
214996,215897;216264;222453
215017,228691;434850
215126,225883;228039;245004;245262;272835
215136,NULL
215183,216647
215184,214228;214451;220282
215260,NULL
215265,238638
215275,NULL
215306,245674;249857;249981;256047;277082;291701;294204;314747;315110;333017;349333;363730;367572;377324;380366;418872;429772;442049;473524;474147;479419
215308,215392
215313,304952
215329,NULL
215342,NULL
215349,235122;513919;528810
215351,254933;261487;282402;342024;551443;556747
215354,NULL
215392,215308
215416,214354;217255;218359;222797
215534,218553;220634
215546,NULL
215576,221726;223602;230798
215600,215653
215610,NULL
215621,217567;222594
215649,241845
215653,215600
215664,NULL
215710,NULL
215808,NULL
215828,NULL
215841,NULL
215845,NULL
215853,NULL
215867,NULL
215883,254372
215897,214996;216264;222453
215901,NULL
215959,216133;225147;227942;230916;236311;245550;245803;249145;251539;254323
215960,241420
215988,214308;214444;214604;216756
215989,232992;237179
216012,NULL
216033,262777;267646;274343;311912
216047,230928;230930;236859;240976;242311;245492;262564;267758;277096;278622;323249;333583;339791;389889
216057,NULL
216090,220058
216098,292172
216132,245659;268461;275969;298002;320931;350964;427740;465571;484721;486152;525350;531609;546427
216133,215959;225147;227942;230916;236311;245550;245803;249145;251539;254323
216153,NULL
216197,NULL
216208,222798;236616;253309;271919;279141;301899;343695;347547;352657;388981;420017;471343;476259;478354;482197;495059
216209,NULL
216214,499545
216221,NULL
216223,NULL
216225,NULL
216264,214996;215897;222453
216290,NULL
216302,214230
216310,NULL
216315,NULL
216351,NULL
216359,NULL
216407,NULL
216410,218875
216414,NULL
216433,NULL
216454,NULL
216455,NULL
216457,NULL
216463,NULL
216485,NULL
216486,214838;217477;217633;218807;219612;222630;229273;229283;232534;238002;239016;240602
216506,NULL
216509,227910;228860;230686;234994;238490;243976
216529,NULL
216535,266679;285990
216603,NULL
216605,233132;244308;245969;254245
216623,NULL
216624,237938;264634;283196;292087;323758;378844;385772;411074;443110
216647,215183
216650,216887;222531;229517;232637;244274;260207;261875;288621;320613;321917;336757;354724;366703;367770;371108;371524;384685;408501;413918;413973;478906
216661,NULL
216664,NULL
216669,NULL
216677,217802;223010;227892;230631;253766
216691,216692
216692,216691
216725,NULL
216730,NULL
216737,NULL
216744,278258;325172
216755,NULL
216756,214308;214444;214604;215988
216776,225650
216825,NULL
216830,NULL
216853,259512;260410;287524
216887,216650;222531;229517;232637;244274;260207;261875;288621;320613;321917;336757;354724;366703;367770;371108;371524;384685;408501;413918;413973;478906
216909,251296;263232;286390;318103
216948,233966;238499;243162;245414;245538;247126;250401;256043;260855;264172;264916;264936;270839;271578;273969;275372;275649;276186;278580;280052;283455;287183;296043
216949,252644
216968,256759
216985,214423;224965;231216;241686
217021,214514;300249
217076,373453
217093,226728
217100,NULL
217101,213212;214358;217186
217108,NULL
217135,NULL
217136,218272;218361;218814;219361;221748;222120;222385;222418
217148,NULL
217149,NULL
217154,NULL
217176,NULL
217186,213212;214358;217101
217200,229676;230044;235322;264973;267994;283918;321846;322980;323772;323794;325771;336245
217209,NULL
217215,NULL
217252,NULL
217255,214354;215416;218359;222797
217258,257951
217273,214764;227293
217290,NULL
217324,220056
217337,NULL
217348,250226;260726
217373,NULL
217391,NULL
217448,NULL
217450,NULL
217455,217512
217460,NULL
217465,NULL
217475,214587;220244
217477,214838;216486;217633;218807;219612;222630;229273;229283;232534;238002;239016;240602
217503,NULL
217512,217455
217521,NULL
217539,NULL
217548,324435
217567,215621;222594
217575,NULL
217588,NULL
217633,214838;216486;217477;218807;219612;222630;229273;229283;232534;238002;239016;240602
217669,235659
217672,266295
217673,221724;263342;288179
217682,230218;309014
217698,269405;274412
217711,NULL
217712,NULL
217752,218826;225725;226333;227392;227658
217788,NULL
217802,216677;223010;227892;230631;253766
217803,231931;354743;377145
217900,NULL
217938,NULL
217941,449888
217942,232330
217975,NULL
217979,NULL
217987,NULL
217989,NULL
218019,NULL
218051,NULL
218061,NULL
218073,NULL
218085,NULL
218105,NULL
218123,NULL
218133,NULL
218141,NULL
218145,242475;337894;338939;345304;413475
218148,NULL
218149,NULL
218190,NULL
218235,NULL
218240,279578
218256,NULL
218261,214776;228858;229954;230880;235823;239169;262438;271352;274610;274612;281740;284937;285252;290016;290516;305114
218268,NULL
218269,NULL
218272,217136;218361;218814;219361;221748;222120;222385;222418
218275,218276
218276,218275
218296,NULL
218323,NULL
218327,NULL
218328,NULL
218333,NULL
218337,NULL
218359,214354;215416;217255;222797
218361,217136;218272;218814;219361;221748;222120;222385;222418
218364,207508;209996;214713
218406,NULL
218417,222380
218450,214450;221300;221989;224031;224614;225356
218467,NULL
218486,235308;237347
218500,NULL
218552,NULL
218553,215534;220634
218554,NULL
218555,NULL
218557,228410;286075;477854
218563,NULL
218566,NULL
218587,NULL
218609,NULL
218668,NULL
218699,NULL
218730,NULL
218731,NULL
218739,233143;271970;284076;285247;289286;293018;304594
218757,NULL
218774,227641
218779,NULL
218786,NULL
218795,NULL
218807,214838;216486;217477;217633;219612;222630;229273;229283;232534;238002;239016;240602
218812,NULL
218814,217136;218272;218361;219361;221748;222120;222385;222418
218826,217752;225725;226333;227392;227658
218830,NULL
218838,NULL
218847,NULL
218859,NULL
218872,NULL
218875,216410
218950,NULL
218954,441881
218976,301535
218994,NULL
218996,NULL
218997,228258
218999,232424;247597;273899;410495;434664
219035,NULL
219039,NULL
219083,213406;214126;223241;227961;274421;279065;379926;540361;544638
219087,274097;332601;341402;346800
219108,NULL
219131,NULL
219138,257990;281462
219174,NULL
219179,236143;237563;241086;254416;259280;269382;277764;283498;283617;288639;292648;303549;303586;380548;384788;397976;419802;419987;420321;425994;447746;472940;479760;497317;540154;546994;578921
219196,NULL
219198,NULL
219211,219598;220287
219214,219655
219215,NULL
219246,NULL
219272,274939;286230;324219;341608;348207
219331,272303;303859;350286;359037;374574
219336,NULL
219344,300810;342008
219347,NULL
219359,NULL
219361,217136;218272;218361;218814;221748;222120;222385;222418
219372,NULL
219383,NULL
219386,214158
219433,NULL
219463,NULL
219465,NULL
219468,NULL
219488,NULL
219525,228990
219540,220662;220722
219586,230319;252464;257833
219591,NULL
219596,NULL
219598,219211;220287
219612,214838;216486;217477;217633;218807;222630;229273;229283;232534;238002;239016;240602
219629,220046
219655,219214
219670,NULL
219684,233676;249667;267764;296891;313719
219689,NULL
219691,NULL
219728,NULL
219733,264781;272866;276823;281211;287537
219750,253719;327533;351523
219757,NULL
219762,214663
219794,NULL
219795,250333;259653;267144
219796,202497;223033;223474;234915;247999
219844,NULL
219849,NULL
219889,421101
219947,225117;506477
219977,NULL
219996,NULL
219998,NULL
220010,254486;256051;271593;278318;343861
220024,NULL
220046,219629
220056,217324
220058,216090
220109,NULL
220119,NULL
220132,NULL
220161,NULL
220167,NULL
220173,222186;223402;224626;230142;231650;231902;238766
220184,NULL
220194,229641;297068
220196,244434
220244,214587;217475
220276,235184
220281,NULL
220282,214228;214451;215184
220287,219211;219598
220358,NULL
220364,NULL
220372,NULL
220384,NULL
220402,244769
220404,NULL
220417,NULL
220625,NULL
220634,215534;218553
220656,239783
220662,219540;220722
220688,NULL
220716,264958;321796;349659;356099;379370;473370
220722,219540;220662
220761,NULL
220784,NULL
220846,226717
220861,224071
220918,NULL
221030,383841;426497
221046,NULL
221054,253924;285474
221071,NULL
221077,234541;291373
221134,NULL
221139,NULL
221169,NULL
221170,NULL
221171,240825;241066
221175,NULL
221177,NULL
221183,NULL
221197,NULL
221202,222522
221204,229490
221231,NULL
221237,NULL
221297,NULL
221300,214450;218450;221989;224031;224614;225356
221310,NULL
221313,256966
221319,NULL
221360,NULL
221415,230110;362592
221451,NULL
221469,NULL
221542,NULL
221547,NULL
221552,247476
221615,332313;361035;375556;457419;460621;525871;538426
221630,NULL
221652,244365;267075;285518;331891;343016;345089
221656,NULL
221670,NULL
221695,223600;224291;230488;244505;259597;260311;260994;262512;273872
221724,217673;263342;288179
221726,215576;223602;230798
221736,NULL
221748,217136;218272;218361;218814;219361;222120;222385;222418
221772,232856;241846;248617;257636
221780,NULL
221811,NULL
221817,221818
221818,221817
221821,NULL
221861,241149;262063;296669;303619;346698;439449;456616;487024;490823;547369
221865,NULL
221882,223916;224484;226041;271526;275965;314556;316679;325001;325704;344332;371526;401967;403629;434105;434999;447898;457268;484886;555533
221891,NULL
221908,228890
221909,247644;248811;251089;257228
221942,240387;291661;323179;365210;369904;371909;390254;402441;406841;423066;430456
221954,NULL
221989,214450;218450;221300;224031;224614;225356
222020,302082;311787;313046
222049,386908
222052,NULL
222090,225777
222115,NULL
222120,217136;218272;218361;218814;219361;221748;222385;222418
222171,242891
222186,220173;223402;224626;230142;231650;231902;238766
222227,NULL
222231,263877;302525;339317;349763;360646;367201;522420
222239,NULL
222243,NULL
222270,222271
222271,222270
222280,226646;228414;229709;230437;245231;247234;259988;261401;262904;267443;269046
222286,235010;272506;277336;338283;367656;502808
222318,396719
222323,NULL
222337,332513
222338,242434
222378,250248
222380,218417
222385,217136;218272;218361;218814;219361;221748;222120;222418
222392,NULL
222405,243075;247977
222418,217136;218272;218361;218814;219361;221748;222120;222385
222428,NULL
222447,NULL
222453,214996;215897;216264
222455,252090
222476,257972;288136;474564
222496,224197;224324;224950;225192;225473
222521,NULL
222522,221202
222531,216650;216887;229517;232637;244274;260207;261875;288621;320613;321917;336757;354724;366703;367770;371108;371524;384685;408501;413918;413973;478906
222551,NULL
222563,232220;239328
222565,NULL
222571,NULL
222594,215621;217567
222613,NULL
222616,NULL
222628,279023;281255;336177
222630,214838;216486;217477;217633;218807;219612;229273;229283;232534;238002;239016;240602
222638,NULL
222652,NULL
222664,NULL
222728,254128;302427;369310;420929;430661
222752,273183;291978;315275;322924;336567;348380;368956
222762,NULL
222783,NULL
222786,NULL
222797,214354;215416;217255;218359
222798,216208;236616;253309;271919;279141;301899;343695;347547;352657;388981;420017;471343;476259;478354;482197;495059
222817,NULL
222830,222831
222831,222830
222841,NULL
222853,NULL
222886,NULL
222892,292336;441275;442491;525011
222913,NULL
223010,216677;217802;227892;230631;253766
223031,247801;276013
223033,202497;219796;223474;234915;247999
223072,NULL
223073,257885;274014;292315;340066;347150
223091,263222;334138;375347
223094,249267;257404;272898;281400;299823;305549;312198;326992;353829;361435;381818;419063;423904;488642
223129,245029;284005;385541;399032;420116
223131,123440;232134;255360;267192;287270;287378;292939;309584;333183;345953;347066;353826;422896;432120;437050;450941;470744;474300;477641;487926;515075;518432
223132,234078;240313;241463;242063;247163;261322;265452;269088;270876;271721;274145;274878;275505;276294;278364;286413;287731;288084;288863;303322;307054;307929;314312;318848;328021;340135;343063;343094;344746;350410;370652;371366;373957;374769;378223;379263;381327;418898;439345;479700;483559;526351
223196,243323
223217,NULL
223241,213406;214126;219083;227961;274421;279065;379926;540361;544638
223262,254286;258067
223282,NULL
223284,271434
223298,NULL
223299,NULL
223339,NULL
223340,223561;242531;247332;256940;263822;269596;270222;279262;280927;288343;288890;290987;298416;302343;303993;309891;314737;315834;317228;322111;322766;333127;337900;341243;344099;346981;347359;351056;353669;355546;361152;364394;371884;372362;374616;379927
223341,340794
223342,214896;228998;233098
223343,NULL
223370,274377
223381,225201
223402,220173;222186;224626;230142;231650;231902;238766
223408,260683
223438,NULL
223452,NULL
223464,NULL
223474,202497;219796;223033;234915;247999
223525,382153
223552,NULL
223561,223340;242531;247332;256940;263822;269596;270222;279262;280927;288343;288890;290987;298416;302343;303993;309891;314737;315834;317228;322111;322766;333127;337900;341243;344099;346981;347359;351056;353669;355546;361152;364394;371884;372362;374616;379927
223566,NULL
223572,228884;230441;230446;249559
223574,247444
223600,221695;224291;230488;244505;259597;260311;260994;262512;273872
223602,215576;221726;230798
223634,NULL
223683,NULL
223720,NULL
223730,250142;252667
223864,NULL
223865,225564
223870,286771;319817;385556
223871,266881
223898,NULL
223909,306459;324593;361602
223916,221882;224484;226041;271526;275965;314556;316679;325001;325704;344332;371526;401967;403629;434105;434999;447898;457268;484886;555533
223928,NULL
223931,231764;246059
223943,NULL
223973,NULL
223981,NULL
224030,251423;265615;311210;318313
224031,214450;218450;221300;221989;224614;225356
224032,NULL
224064,214748;214932;230773;252492;268143;269594
224071,220861
224080,NULL
224167,NULL
224189,243256;260404;261004;262483
224197,222496;224324;224950;225192;225473
224258,NULL
224281,NULL
224291,221695;223600;230488;244505;259597;260311;260994;262512;273872
224324,222496;224197;224950;225192;225473
224328,NULL
224344,NULL
224377,NULL
224391,374294
224407,NULL
224419,NULL
224459,NULL
224475,NULL
224484,221882;223916;226041;271526;275965;314556;316679;325001;325704;344332;371526;401967;403629;434105;434999;447898;457268;484886;555533
224511,NULL
224544,NULL
224555,NULL
224590,NULL
224614,214450;218450;221300;221989;224031;225356
224618,NULL
224626,220173;222186;223402;230142;231650;231902;238766
224670,NULL
224671,NULL
224715,NULL
224722,NULL
224728,NULL
224795,NULL
224802,NULL
224823,NULL
224839,237307
224858,NULL
224863,NULL
224876,NULL
224878,NULL
224891,NULL
224897,NULL
224903,400752;457730
224935,NULL
224950,222496;224197;224324;225192;225473
224961,NULL
224963,NULL
224965,214423;216985;231216;241686
224966,253388;253412
224967,225795;228048;232518;248641;268453;313978;313981;315169;323319;329249;329462;344115;357576;359531;361882;375079;375478;376872;383435;388010;441427;450561;468226;477566
224969,225610;232332;301903;324797;481192;486156
224986,NULL
225022,NULL
225067,NULL
225086,NULL
225099,NULL
225117,219947;506477
225132,248760;258919;263463;268278;311197;324899;416358
225147,215959;216133;227942;230916;236311;245550;245803;249145;251539;254323
225160,NULL
225192,222496;224197;224324;224950;225473
225201,223381
225208,NULL
225218,230478
225219,263523
225288,NULL
225315,NULL
225356,214450;218450;221300;221989;224031;224614
225365,NULL
225384,NULL
225385,NULL
225387,NULL
225426,NULL
225441,NULL
225447,NULL
225469,NULL
225473,222496;224197;224324;224950;225192
225485,285562
225494,228484
225512,243548;248308
225514,NULL
225552,252292
225562,NULL
225564,223865
225582,NULL
225596,NULL
225606,NULL
225609,214240;214648;226309;235890;235946;256740;272244;276788;286293;312640;314656;318537;320987;360618;390772;450399;453911;460038;467164;493105;493180;528858;534450;540071;546061
225610,224969;232332;301903;324797;481192;486156
225616,NULL
225650,216776
225660,NULL
225662,NULL
225725,217752;218826;226333;227392;227658
225734,NULL
225761,NULL
225764,NULL
225765,NULL
225777,222090
225795,224967;228048;232518;248641;268453;313978;313981;315169;323319;329249;329462;344115;357576;359531;361882;375079;375478;376872;383435;388010;441427;450561;468226;477566
225881,NULL
225883,215126;228039;245004;245262;272835
225888,NULL
225914,NULL
225976,NULL
226041,221882;223916;224484;271526;275965;314556;316679;325001;325704;344332;371526;401967;403629;434105;434999;447898;457268;484886;555533
226042,NULL
226058,NULL
226077,NULL
226130,NULL
226133,NULL
226145,199019;245371;257689;267748;267815;274004;275502;287000;297698;306696;309022;309643
226175,NULL
226176,NULL
226179,228814;234446;240176;264455;265271;269931;282388
226212,NULL
226214,NULL
226289,NULL
226303,233691;238006;307675;350196;360844;458523;475230
226309,214240;214648;225609;235890;235946;256740;272244;276788;286293;312640;314656;318537;320987;360618;390772;450399;453911;460038;467164;493105;493180;528858;534450;540071;546061
226312,NULL
226333,217752;218826;225725;227392;227658
226349,NULL
226392,NULL
226396,244364;277889;284490;308386;445786
226399,NULL
226414,NULL
226415,NULL
226447,NULL
226449,NULL
226457,NULL
226468,241136;270093;272724;276833;286515;312612;324505;324506;334045;361353;414111;420602;458413;503743;533143
226519,NULL
226543,NULL
226544,NULL
226547,NULL
226551,393022;412141
226570,NULL
226579,NULL
226646,222280;228414;229709;230437;245231;247234;259988;261401;262904;267443;269046
226665,NULL
226666,NULL
226677,NULL
226707,NULL
226717,220846
226728,217093
226759,NULL
226780,NULL
226796,NULL
226799,NULL
226800,245430;245892;247571
226811,NULL
226836,NULL
226850,NULL
226877,232519;249750;259709;260556;347647;542038
226878,NULL
226883,NULL
226927,NULL
226947,NULL
226982,226997
226997,226982
227012,NULL
227013,NULL
227014,NULL
227091,NULL
227095,NULL
227132,NULL
227188,228235
227197,NULL
227201,NULL
227202,272675
227203,NULL
227204,NULL
227205,NULL
227206,232234
227209,NULL
227214,NULL
227216,NULL
227217,NULL
227251,NULL
227265,NULL
227286,NULL
227288,228509;230381
227293,214764;217273
227305,273858;284603;301715;317985;341546;422588;471609;483201;504619
227319,257115;284568
227335,NULL
227350,NULL
227351,474400
227355,NULL
227371,306888
227392,217752;218826;225725;226333;227658
227428,235012
227434,NULL
227448,NULL
227451,NULL
227454,NULL
227455,228183;260057;263325;311704;330324;446280;464424;492995
227462,NULL
227481,NULL
227482,NULL
227522,NULL
227527,NULL
227544,NULL
227560,NULL
227561,NULL
227601,235666;251945;253970;262728;289684;317365;332040;368770;387469;540279;540280;543133
227608,NULL
227617,234567;254735;278283;279897
227628,NULL
227638,254803;273722;300143;300823;323072;371805;376598
227641,218774
227643,358640;393168;501314;520466;530744;534618;538312
227645,NULL
227652,NULL
227658,217752;218826;225725;226333;227392
227661,270958;272951;496238;525125
227662,245196
227678,228093;230977;371687
227684,NULL
227688,NULL
227701,NULL
227722,247932
227728,NULL
227735,NULL
227739,NULL
227751,204707
227755,NULL
227763,271516;323149;323867;374606;401900;453945;512253;573023
227770,NULL
227788,NULL
227793,NULL
227795,242519
227797,NULL
227802,NULL
227804,NULL
